Text,Romanization,Description,Language,WordType,Example,en-US
住む,sumu,すむ,ja-JP,Verb,,to live
洗う,arau,あらう,ja-JP,Verb,,to wash
付ける,tsukeru,つける,ja-JP,Verb,,to turn on (light)
帰る,kaeru,かえる,ja-JP,Verb,,to return (home)
切る,kiru,きる,ja-JP,Verb,,to cut
寝る,neru,ねる,ja-JP,Verb,,to fall asleep
手伝う,tetsudau,てつだう,ja-JP,Verb,,help
飲む,nomu,のむ,ja-JP,Verb,,to drink
食べる,taberu,たべる,ja-JP,Verb,,to eat
浴びる,abiru,あびる,ja-JP,Verb,,to bathe
磨く,migaku,みがく,ja-JP,Verb,,to brush (teeth)
食べる,taberu,たべる,ja-JP,Verb,,to eat
寝る,neru,ねる,ja-JP,Verb,,to sleep
触る,fureru,さわる,ja-JP,Verb,,to touch
着る,kiru,きる,ja-JP,Verb,,to wear
届ける,todokeru,とどける,ja-JP,Verb,,to deliver
焼く,yaku,やく,ja-JP,Verb,,to bake
混ぜる,mazeru,まぜる,ja-JP,Verb,,to mix
開ける,akeru,あける,ja-JP,Verb,,to open
入る,hairu,はいる,ja-JP,Verb,,to enter
出る,deru,でる,ja-JP,Verb,,to leave
作る,tsukuru,つくる,ja-JP,Verb,,to make
置く,oku,おく,ja-JP,Verb,,to put
遊ぶ,asobu,あそぶ,ja-JP,Verb,,to play